Time,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,heartratebpm/value
2021-08-22T13:23:09Z,38.4175624,-78.8830218,374.7719342,
2021-08-22T13:23:11Z,38.4176062,-78.8830688,375.047033,
2021-08-22T13:23:13Z,38.4176597,-78.8831157,375.179891,
2021-08-22T13:23:15Z,38.4177126,-78.8831727,375.5861809,
2021-08-22T13:23:17Z,38.4177598,-78.8832233,375.7202015,
2021-08-22T13:23:19Z,38.417819,-78.8832864,375.8577099,
2021-08-22T13:23:21Z,38.417865,-78.8833298,376.093277,
2021-08-22T13:23:23Z,38.4179385,-78.8834042,376.1831061,
2021-08-22T13:23:25Z,38.4179932,-78.8834565,376.1725038,
2021-08-22T13:23:27Z,38.418055,-78.883519,376.2147549,
2021-08-22T13:23:29Z,38.4181002,-78.883562,376.2165483,
2021-08-22T13:23:31Z,38.418175,-78.8836462,376.0510264,
2021-08-22T13:23:33Z,38.4182477,-78.8837303,375.8937356,
2021-08-22T13:23:35Z,38.418334,-78.8838058,375.5867036,
2021-08-22T13:23:37Z,38.418424,-78.8838997,374.9298409,
2021-08-22T13:23:39Z,38.4185224,-78.883999,374.2982288,
2021-08-22T13:23:41Z,38.4186312,-78.8841066,373.4867251,
2021-08-22T13:23:43Z,38.4187534,-78.884219,372.3891767,
2021-08-22T13:23:45Z,38.4188886,-78.8843425,370.9236406,
2021-08-22T13:23:47Z,38.4190337,-78.8844876,369.3520952,
2021-08-22T13:23:49Z,38.4191943,-78.8846558,367.6061791,
2021-08-22T13:23:51Z,38.4193705,-78.8848416,365.8896986,
2021-08-22T13:23:53Z,38.4195549,-78.8850242,364.0139698,
2021-08-22T13:23:55Z,38.419748,-78.8852113,361.1563764,
2021-08-22T13:23:57Z,38.4199505,-78.885419,358.2369123,
2021-08-22T13:23:59Z,38.4201667,-78.8856421,356.3582031,
2021-08-22T13:24:01Z,38.420381,-78.8858675,354.6773319,
2021-08-22T13:24:03Z,38.4205923,-78.8860938,353.4090947,
2021-08-22T13:24:05Z,38.4207769,-78.8863467,352.1578916,
